Tổ chức,1,Đã có nhóm/đội từng áp dụng Scrum thành công?,Có,2
,2,"Có chống đối mạnh với Scrum? (Có→0, Không→2)",Không,2
,3,Có hỗ trợ tốt giữa các thành viên/bộ môn?,Có,2
Hạ tầng,1,Đã có CI/CD (GitHub Actions)?,Có,2
,2,Kiểm thử tự động đã phổ biến?,Một phần,1
,3,Môi trường Docker/Neo4j sẵn sàng?,Có,2
Nhóm,1,"Scrum hoàn toàn mới với nhóm? (Có→0, Không→2)",Một phần,1
,2,Thành viên từng làm việc cùng nhau?,Có,2
,3,Hiểu và tôn trọng lẫn nhau?,Có,2
Công nghệ,1,Có kinh nghiệm Java 21 / Spring Boot?,Có,2
,2,Có kinh nghiệm Vue 3 / TypeScript / Sigma.js?,Một phần,1
,3,Có kinh nghiệm Neo4j / Cypher?,Một phần,1
Quy trình,1,Scrum được áp dụng chính thức cho dự án?,Có,2
,2,Có vai trò PO/SM rõ ràng và hỗ trợ?,Một phần,1
,3,"Có phản đối quy trình? (Có→0, Không→2)",Không,2
Nghiệp vụ,1,PO sẵn sàng và gắn bó với dự án?,Có,2
,2,"PO thiếu kinh nghiệm Scrum? (Có→0, Không→2)",Không thiếu,2
,3,Phạm vi nghiệp vụ MVP rõ ràng?,Một phần,1
Tổng cộng,,,,30
