,Loại tương tác,Quy tắc nghiệp vụ,Thực thể,Loại thao tác dữ liệu,,,,,
Sprint 1,,,,,,,,,
Upload & import archive ZIP/TAR,3,3,3,3,12,0.5,6,30,5
Kiểm tra loại & dung lượng archive,2,3,1,1,7,0.5,3.5,30,2.917
Giải nén an toàn chống path traversal,3,3,2,2,10,0.5,5,30,4.167
Parse file .java (visitors),3,2,3,2,10,0.5,5,30,4.167
Sinh structural edges,2,2,3,1,8,0.5,4,30,3.333
Phát hiện Spring annotation/layer,2,3,2,1,8,0.5,4,30,3.333
Cấu hình Neo4j Java Driver raw,2,2,2,2,8,0.5,4,30,3.333
Cypher schema migration,2,3,2,2,9,0.5,4.5,30,3.75
Upsert node/edge vào Neo4j,3,2,3,3,11,0.5,5.5,30,4.583
Lấy full graph theo projectId,2,2,3,1,8,0.5,4,30,3.333
Render graph Sigma.js,3,1,3,1,8,0.5,4,30,3.333
Tô màu theo loại node/edge,2,1,2,1,6,0.5,3,30,2.5
Tìm kiếm node theo tên,2,2,2,1,7,0.5,3.5,30,2.917
REST API project/analyze/graph,3,3,3,2,11,0.5,5.5,30,4.583
Sprint 2,,,,,,,,,
Import GitHub public repo,3,3,3,3,12,0.5,6,30,5
Pre-flight kiểm tra repo,2,3,2,1,8,0.5,4,30,3.333
Resolve CALLS bằng SymbolSolver,3,2,3,1,9,0.5,4.5,30,3.75
Lọc theo loại node/edge,2,2,3,1,8,0.5,4,30,3.333
Focus mode N-hop,3,2,3,1,9,0.5,4.5,30,3.75
Node Detail API + panel,2,2,3,2,9,0.5,4.5,30,3.75
Impact analysis (blast radius),3,3,3,2,11,0.5,5.5,30,4.583
WebSocket realtime update,3,3,2,2,10,0.5,5,30,4.167
File Watcher incremental,3,3,2,3,11,0.5,5.5,30,4.583
Use Case Diagram (Mermaid),2,3,3,1,9,0.5,4.5,30,3.75
Class Diagram (Mermaid),2,3,3,1,9,0.5,4.5,30,3.75
MCP tools (15 tools),3,3,3,2,11,0.5,5.5,30,4.583
Docker compose BE/FE/Neo4j,2,2,2,2,8,0.5,4,30,3.333
GitHub Actions CI BE/FE,2,2,1,1,6,0.5,3,30,2.5
Sprint 3,,,,,,,,,
MCP tools implementation,3,3,3,2,11,0.5,5.5,30,4.583
OpenAPI documentation,2,2,2,1,7,0.5,3.5,30,2.917
"Parser robustness (lambda, refs)",3,3,3,2,11,0.5,5.5,30,4.583
Content-hash caching,3,3,3,3,12,0.5,6,30,5
Neo4j query optimization,2,2,3,2,9,0.5,4.5,30,3.75
Graph pagination/limit,2,2,3,2,9,0.5,4.5,30,3.75
"UI polish (stats, empty, progress)",2,2,2,1,7,0.5,3.5,30,2.917
Refactor technical debt,2,2,3,1,8,0.5,4,30,3.333
Test coverage boost to 70%,2,2,2,1,7,0.5,3.5,30,2.917
Sprint 4,,,,,,,,,
Production Docker + nginx,2,2,2,2,8,0.5,4,30,3.333
Domain + SSL (Let's Encrypt),2,2,1,1,6,0.5,3,30,2.5
GitHub Actions CI/CD completion,2,2,2,1,7,0.5,3.5,30,2.917
"Demo preparation (script, video)",2,2,2,1,7,0.5,3.5,30,2.917
Complete documentation suite,2,3,2,1,8,0.5,4,30,3.333
Bug fixes & final polish,2,2,2,2,8,0.5,4,30,3.333
Sprint 3 (Giai đoạn 2 bổ sung),,,,,,,,,
Auth email + JWT cookie HttpOnly,3,3,3,3,12,0.5,6,30,5
Đăng nhập Google OAuth (linking),2,3,2,1,8,0.5,4,30,3.333
Ownership guard + sandbox/quota,3,3,3,3,12,0.5,6,30,5
CLI vibegraph (push/watch local patch),3,2,2,3,10,0.5,5,30,4.167
Senior MCP tools + source viewer,3,3,3,2,11,0.5,5.5,30,4.583
Deep CPG opt-in (LocalVariable/READS/WRITES),2,2,3,2,9,0.5,4.5,30,3.75
Use Case SVG UML 2.5 + inference,2,3,3,1,9,0.5,4.5,30,3.75
Sprint 4 (Giai đoạn 2 bổ sung),,,,,,,,,
User workspace (BE + FE),3,3,3,3,12,0.5,6,30,5
Admin console (BE + FE),3,3,3,3,12,0.5,6,30,5
Plan/credit/quota theo DB,2,3,3,3,11,0.5,5.5,30,4.583
Anti-abuse (rate limit/IP block/import guard),2,3,2,2,9,0.5,4.5,30,3.75
Audit log + SSE realtime,2,3,2,2,9,0.5,4.5,30,3.75
Announcements + notifications,2,2,2,2,8,0.5,4,30,3.333
API key lifecycle (project-bound),2,3,2,2,9,0.5,4.5,30,3.75
i18n EN/VI,2,1,2,1,6,0.5,3,30,2.5
AI refine use case (Gemini failover),2,3,2,1,8,0.5,4,30,3.333
Graph lazy deep + layout polish,3,2,3,2,10,0.5,5,30,4.167
TỔNG,,,,,,,,1800,226.246
