PB01,Lập trình viên,Upload file ZIP/TAR/TAR.GZ của project Java,hệ thống phân tích mà không cần khai báo local path,1,High,"Thành công: nhận file .zip/.tar/.tar.gz ≤100MB, parse .java và mở graph; Thất bại: sai định dạng hoặc >100MB thì báo lỗi rõ ràng, không lưu graph",Done,✅ Backend sync/async + FE AddProjectArchive đã có
PB02,Lập trình viên,Import repository GitHub công khai bằng URL,phân tích nhanh repo mà không cần tải thủ công,2,Medium,"Thành công: dán URL public repo, pre-flight hợp lệ, tải tarball, extract .java qua archive pipeline và analyze async; Thất bại: repo private/quá lớn/URL sai thì từ chối kèm thông báo",Done,"✅ Backend import-github + FE GitHubImportForm/useGitHubImport done; safe error mapping added; T11 integration-style tests cover import-github 202, validation rejection, GitHub failure envelope, async tarball import, and preflight-stop path without real GitHub network; historical scoped frontend checks were recorded pass; latest dirty-worktree ESLint is not green (one unused `ChartTone` at `DashboardView.vue:22`); E2E smoke tested (import-github 202 ANALYZING -> ANALYZED 47 files/310 nodes/1220 edges); backend DI bug in `GitHubPreFlightService` resolved"
PB03,Lập trình viên,Phân tích mã nguồn Java bằng JavaParser,trích xuất class/method/field và quan hệ code,1,High,"Thành công: parse 500 file <30s, sinh node Class/Interface/Enum/Method/Field/Route; Thất bại: file lỗi cú pháp bị bỏ qua, ghi cảnh báo, không dừng cả tiến trình",Done,"✅ Parser/visitors/FlowAnalyzer and regression suites exist. The 500-file/<30s acceptance is still tracked separately as T85 New, so this row does not claim that benchmark was freshly reproduced."
PB04,Lập trình viên,Lưu knowledge graph vào Neo4j,truy vấn và hiển thị quan hệ code bền vững,1,High,"Thành công: node/edge lưu qua Neo4j Java Driver raw, có projectId, Cypher tham số hóa; Thất bại: lỗi kết nối Neo4j được báo và rollback, không lưu nửa vời",Done,✅ Raw-driver repository supports upsert/delete/fullGraph/search/impact with project scoping; architecture tests exist. Current Neo4j repository refactor is uncommitted and is not described as released.
PB05,Kiến trúc sư phần mềm,Trực quan hóa knowledge graph bằng Sigma.js,nhìn được kiến trúc tổng thể của dự án,1,High,"Thành công: render node/edge với màu theo loại, layout không chặn UI; Thất bại: graph rỗng thì hiển thị trạng thái empty thay vì màn hình trắng",Done,"✅ `GraphCanvas`, `useSigma`, `graphAdapter`, FA2/noverlap and filters exist. Fresh Vitest run passes 67 files/570 tests; the graph overlap investigation remains open under PB26/T187–T189."
PB06,Kiến trúc sư phần mềm,"Tìm kiếm, lọc và focus node trên graph",khoanh vùng nhanh phần code cần xem,2,High,"Thành công: search theo tên, lọc theo loại node/edge, click/select node highlight; Thất bại: từ khóa không khớp hiển thị 'không có kết quả', không treo UI",Done,✅ SearchBar + FilterPanel + click/select node highlight done; Focus Mode N-hop removed after UX review; historical scoped frontend checks were recorded pass; latest dirty-worktree ESLint is not green (one unused `ChartTone` at `DashboardView.vue:22`); browser smoke tested backend-offline error state
PB07,Kiến trúc sư phần mềm,Xem chi tiết một node,hiểu kết nối đến/đi của thành phần code,2,Medium,"Thành công: click node mở panel hiển thị thuộc tính + cạnh in/out; Thất bại: node không tồn tại thì panel báo rõ, không lỗi JS",Done,"✅ FE NodeDetailPanel + backend Node Detail API done; supports path/query nodeId, hop whitelist, 50-connection cap, 404/400 handling"
PB08,Lập trình viên,Phân tích phạm vi ảnh hưởng (impact) của node,đánh giá rủi ro trước khi thay đổi code,2,Medium,"Thành công: trả về blast radius theo độ sâu, giới hạn hop; Thất bại: node cô lập trả về tập rỗng kèm thông báo, query luôn có LIMIT",Done,"✅ Backend Impact Analysis API done; bounded dependency traversal, capped samples + true counts, project isolation, 404/400 handling; auth/rate-limit tracked as production risk; FE panel T59 done (ImpactAnalysisPanel + useImpactAnalysis), live UI smoke pending (backend offline); CẬP NHẬT GĐ2 (2026-07): auth + rate-limit đã có (Spring Security + abuse module) — hết production risk; UI smoke đã chạy trong QA live 2026-07-14"
PB09,Lập trình viên,Nhận cập nhật graph realtime qua WebSocket,thấy thay đổi code ngay không cần tải lại,2,Medium,"Thành công: file .java thay đổi đẩy update qua /topic/projects/{id}/updates <3s, FE patch graph; Thất bại: mất kết nối WS thì tự thử lại và báo trạng thái",Done,"✅ Realtime hoàn tất cho cả CREATE/MODIFY/DELETE. `FileChangeBroadcaster` chỉ re-parse đúng file thay đổi, tính delta (before/after snapshot) và broadcast `INCREMENTAL` (added/removed) tới `/topic/projects/{id}/updates`; FE consumer (T60) patch graph tại chỗ trên Sigma (addNode/dropNode + refresh, KHÔNG reset camera/zoom/layout). Producer broadcast (T36) + deleteFile incremental (T25) + FileWatcher (T37) + bridge/lifecycle (T38) done. Đã test end-to-end với import local-folder: thêm `C.java` → node `com.demo.C` xuất hiện tại chỗ; xóa file → node biến mất. T70 Spring-context test + Docker-gated STOMP/Testcontainers E2E (local Docker không có nên IT skip sạch)."
PB10,Kiến trúc sư phần mềm,Sinh diagram tự động từ knowledge graph,tài liệu hóa kiến trúc/nghiệp vụ,2,Medium,Thành công: diagram use case render được; Thất bại: project chưa phân tích trả lỗi rõ,Done,"Historical Mermaid Use Case/Class work was completed, then superseded by the current UML Use Case model. Current backend exposes only `GET /api/projects/{id}/diagrams/usecase`, returning canonical actors/use cases/relations with Mermaid fallback and PlantUML source; the frontend `DiagramPanel` converts the response model to SVG. The Class endpoint/service/tab are removed. RB22/RB23 and T39–T42/T61 remain Done as historical delivered/superseded work; current product behavior is described by PB24/T184–T186."
PB11,AI coding tool,Goi MCP tools de lay ngu canh du an,tich hop AI vao quy trinh hieu code,2,Medium,"Thanh cong: MCP tools tra JSON dung schema qua streamable HTTP; That bai: projectId sai tra loi chuan MCP, khong treo phien",Done,"MCP surface hiện có 18 registered tools, gồm architecture/class/layer/impact, source/search/method/endpoint/references, CPG/test/change/failure/conventions và discovery/change-verification/compiler-explanation tools. Runtime audit 2026-08-14 ghi `Registered tools: 18`; metadata recovery vẫn qua Neo4j + allowed-workspace guard."
PB12,DevOps,Đóng gói và triển khai bằng Docker + CI/CD,chạy hệ thống bằng một lệnh và kiểm thử tự động,3,Medium,"Thành công: docker compose up -d chạy BE/FE/Neo4j, GitHub Actions xanh trên PR; Thất bại: build/test fail thì chặn merge và log rõ nguyên nhân",Done,"Local Compose/CI có bằng chứng: 4 services (Postgres, Neo4j, backend, frontend) healthy trong audit 2026-08-14; backend workflow `./mvnw verify`, frontend workflow type-check/unit/lint/build/audit. Production VPS/domain/SSL/auto-deploy chưa có; `.env.example` fresh config vẫn thiếu `VIBEGRAPH_TRUSTED_PROXIES`, và Nginx chỉ phục vụ SPA."
PB13,Lập trình viên,Theo dõi thay đổi file bằng File Watcher,graph luôn đồng bộ với mã nguồn local,3,Low,"Thành công: create/modify/delete .java kích hoạt phân tích tăng dần, bỏ qua target/.git/node_modules; Thất bại: đường dẫn ngoài root đăng ký bị từ chối",Done,"✅ FileWatcher (WatchService đệ quy, debounce, lọc .java + bỏ qua target/.git/node_modules, từ chối path ngoài root) phát sự kiện cho `FileChangeBroadcaster` xử lý incremental: re-parse đúng file đổi → upsert/prune → broadcast delta. CREATE/MODIFY/DELETE đều kích hoạt cập nhật tăng dần (không phân tích lại toàn bộ). Import local-folder bật watcher tự động; project delete dừng watcher; re-watch khi khởi động (`ProjectRewatchRunner`)."
PB14,Nguoi dung demo,Co tai lieu va ban demo cuoi ky,hieu va trinh dien duoc san pham,3,Low,"Thanh cong: README + tai lieu MCP/trien khai khop code, demo end-to-end chay voi repo Java mau; That bai: thieu buoc nao trong demo phai duoc ghi nhan va sua",Done,"README, MCP/deployment/architecture/local-patch docs và demo script tồn tại; source/runtime docs expose 18 MCP tools, while the root `MCP_INTEGRATION.md` pointer still contains stale “15 available tools” wording (documentation drift); USER_GUIDE vẫn thiếu workspace/admin/trash/refresh-session coverage. Demo video/slides chưa có bằng chứng hoàn tất (T111/T112)."
PB15,Người dùng,Đăng ký/đăng nhập email + mật khẩu và OAuth,"bảo vệ dữ liệu, dùng hệ thống đa người dùng",1,High,"Thành công: register/login/me trả phiên JWT qua cookie HttpOnly; OAuth provider redirect/account linking; Thất bại: sai mật khẩu/token 401, tài khoản blocked trả ACCOUNT_BLOCKED",Done,"`AuthController` có register/login/refresh/logout/me; OAuth hiện dùng Spring Security redirect flow cho Google và GitHub (không có `POST /api/auth/google` custom JWKS endpoint). Access JWT cấu hình HS512; refresh token opaque được rotate, lưu hash, phát hiện replay và revoke family qua V18/V19. Cookie CSRF/header boundary, throttles và revocation checks có test; QA runtime local 2026-08-14 không phải production evidence."
PB16,Người dùng,"Mỗi project có chủ sở hữu, chống IDOR, sandbox + quota",dữ liệu người này không lộ sang người khác,1,High,Thành công: API có projectId sai owner trả 403 (lạ trả 404); GET /api/projects chỉ trả project của mình; import gắn owner_id; vượt quota trả 409 QUOTA_EXCEEDED; Thất bại: không token 401,Done,✅ Ownership guard ở mọi endpoint projectId (graph/impact/neighbors/source/diagrams/analyze/delete) + `AccountAccessGuard`; `projects.owner_id` (Postgres) là nguồn sự thật; quota MB qua `ProjectUsageService`; blocked trả ACCOUNT_BLOCKED trước QUOTA_EXCEEDED
PB17,Người dùng,"Có user workspace đầy đủ (overview, repositories, API keys, usage, subscription, reports, settings)",tự quản tài khoản và tài nguyên của mình,1,High,"Thành công: sidebar collapse/expand, account card hiện plan + credits còn lại; đổi mật khẩu old+new+confirm (không OTP); repositories vừa list vừa là điểm import; Thất bại: blocked/deactivated thấy lý do an toàn, mất quyền dùng product",Done,`views/user/**` + `layouts/UserLayout.vue` và Notifications/Trash views có trong source. Delete project hiện move vào trash 3 ngày; restore/purge/retention có backend + UI; trash chưa giải phóng quota cho tới purge. Language selector user vẫn ở sidebar (T183).
PB18,Quản trị viên,"Có admin console đầy đủ (overview, users, plans & credits, security, feature flags, announcements, audit, settings)",vận hành hệ thống đa người dùng,1,High,Thành công: overview số liệu thật (users/online/credit/storage donut/plan distribution/top storage/security alerts); block/unblock/deactivate có hiệu lực ngay; feature flags enforce thật ở backend; Thất bại: user thường gọi /api/admin/** bị 403,Done,`views/admin/**` có các ops views; source hiện có 13 controller classes map `/api/admin` (không phải 16). Local runtime audit xác nhận health/CORS/auth boundary; production availability chưa được chứng minh.
PB19,Người dùng/Admin,Plan và credit linh hoạt theo DB,tính phí thao tác không hardcode giá trong code,1,High,"Thành công: 5 gói Free/Pro/Pro Plus/Max/Enterprise; credits = base + file*per_file + MB*per_mb + nodes/1000*per_1k (đọc từ credit_pricing_rules, có minimum); mọi trừ/cộng ghi credit_ledger; Thất bại: hết credit trả CREDIT_EXHAUSTED không side-effect",Done,"✅ Migrations V3/V4/V9 + `CreditPricingService`/`CreditBalanceService`/`CreditPeriodCalculator`; trừ credit cho MCP call, CLI push/patch, analyze, import; admin override/adjust có ledger nguồn ADMIN; user xem ledger qua `GET /api/account/usage/ledger`"
PB20,Quản trị viên,"Chống lạm dụng (rate limit, IP block, concurrent import)",hệ thống chịu được abuse trong môi trường shared,1,High,Thành công: vượt ngưỡng trả TOO_MANY_REQUESTS; IP bị block trả IP_BLOCKED; import đồng thời vượt giới hạn trả CONCURRENT_IMPORT_LIMIT; request events xem realtime; Thất bại: unblock sai không được phép,Done,"`abuse/` có staged edge/IP + authenticated identity/API-key limits, bounded Caffeine windows, IP block, concurrent import, request-event SSE, login/registration throttles và telemetry route normalization. State là in-memory/per-instance; restart/replicas không có shared enforcement. Focused security tests were observed in the audit session, but no retained command/output proves an independently reproducible total count, so no numeric focused-suite count is claimed."
PB21,Quản trị viên,Audit log đầy đủ và realtime,truy vết mọi thao tác quản trị,1,High,"Thành công: mọi admin mutation ghi audit (safe reason, redaction); audit giữ lại kể cả khi transaction ngoài rollback; SSE stream đẩy dòng mới vào AuditView đúng filter; Thất bại: stream đứt hiện trạng thái reconnect + nút retry",Done,"✅ `AuditService` + `AuditLogWriter` (REQUIRES_NEW qua Spring proxy) + V15 + `AuditRedactor` + retention setting; coverage matrix Phase 9 (USER_CREATE, API_KEY_CREATION_TOGGLE, PLAN_*/PRICING_*, IP_*, AUDIT_RETENTION_UPDATE...); SSE `GET /api/admin/audit-logs/stream`; live browser QA còn pending (issue #5 — T192)"
PB22,Lập trình viên,"Dùng CLI vibegraph đưa code lên server (login, push, watch)",phân tích project local không cần zip/upload tay,2,Medium,"Thành công: `vibegraph login/config/projects/push/watch` chạy với API key gắn project; chỉ upload delta .java, bỏ secret/build theo deny-list; Thất bại: key revoked/locked trả 401, vượt quota 409",Done,`vibegraph-cli/` 0.1.0 + backend `patch/` và API-key lifecycle V12–V14 có code/tests/docs; npm publish vẫn chưa có bằng chứng (T138).
PB23,Người dùng,Giao diện song ngữ EN/VI,người dùng Việt dùng toàn bộ app bằng tiếng Việt,2,Medium,"Thành công: chọn VN thì mọi copy tĩnh (user dashboard, admin, landing) hiển thị tiếng Việt, persist qua `vg_locale`; Thất bại: thiếu key fallback EN, không vỡ layout",In Progress,"🚧 Locale parity passes; current files are about 65,530 bytes (`en-US`) and 75,456 bytes (`vi-VN`). Primary user views/landing are localized within their scoped product copy, but graph/explorer still contains technical/UI English; user selector remains in the sidebar (T183), and final browser smoke remains part of T119."
PB24,Kiến trúc sư phần mềm,Use Case diagram chuẩn UML 2.5 (SVG) + AI refine,"sơ đồ nghiệp vụ đẹp, đúng chuẩn, nhãn dễ hiểu",2,Medium,"Thành công: backend endpoint trả `UmlUseCaseResponse`, frontend `DiagramPanel` render SVG UML 2.5; nhãn use case được làm đẹp (BA style); bật LLM thì Gemini refine có failover, tắt thì Noop; Thất bại: project chưa analyze trả 409, LLM lỗi thì fallback semantic refiner",Done,"✅ `diagram/service/impl/` (UmlUseCaseRenderer, UseCaseInferenceEngine, UseCaseViewProjector, GenericRelationInferer, BaLabelBeautifier, UseCaseSemanticRefiner, LlmUseCaseRefiner + `com.vibegraph.ai` Gemini failover); backend trả canonical model, frontend gọi `renderUmlUseCaseSvg`; Class Diagram đã gỡ (RB23)"
PB25,AI coding tool,Senior context tools + source viewer an toàn + deep CPG,AI tool hiểu code sâu mà không lộ secret/path,2,Medium,"Thành công: 18 MCP tools trả JSON đúng schema; source viewer đọc file project-relative có redact secret; deep CPG sinh LocalVariable + READS/WRITES/CATCHES; Thất bại: path ngoài root bị từ chối, project lạ trả lỗi chuẩn MCP",Done,"Source/MCP tool surface hiện có 18 registrations. Deep CPG mặc định bật trong Spring; current `MethodVisitor(deepCpg, flag)` also enables unresolved CALL stubs whenever Deep CPG is on. The dedicated stub flag defaults false, but it does not suppress stubs in the default Spring runtime while Deep CPG remains enabled."
PB26,Kiến trúc sư phần mềm,"Graph baseline sạch, lazy-load deep data, layout dễ đọc",graph mượt và dễ đọc với dữ liệu lớn,2,Medium,"Thành công: view mặc định gọn (ẩn deep data cho tới khi cần), spring inference an toàn, không hiện edge type chưa verify, zoom/layout ổn định không giật; Thất bại: bật deep filter không làm reset camera",In Progress,"Các tuning baseline/lazy/spring/filter/layout/zoom đã có trong current history; commit `d5154c4` chỉ thêm investigation/evidence. Root cause noverlap unit mismatch và scale-invariant implementation plan nằm ở `update/graph/`, nhưng chưa có fix code; không được đánh dấu Done."
