PB01,Import Archive,Lập trình viên,Upload archive ZIP/TAR/TAR.GZ project Java,phân tích không cần local path,RB01,1,High,1,Done,Backend sync/async + FE AddProjectArchive đã có
PB01,Import Archive,Lập trình viên,Hệ thống kiểm tra loại và dung lượng archive (≤100MB),tránh file sai định dạng hoặc quá lớn,RB02,1,High,1,Done,ArchiveTypeDetector + size limit config đã có
PB01,Import Archive,Lập trình viên,Giải nén an toàn chống path traversal,bảo mật khi xử lý archive không tin cậy,RB03,1,High,1,Done,ArchiveExtractor safe extraction + tests đã có
PB02,GitHub Import,Lập trình viên,Dán URL public GitHub repo để import,phân tích repo từ xa nhanh chóng,RB04,2,Medium,2,Done,"Backend import-github + FE GitHubImportForm/useGitHubImport done; T11 tests cover web 202 response, validation rejection, safe GitHub failure mapping, and async tarball import path; no real GitHub network; historical scoped frontend checks were recorded pass, while the latest dirty-worktree ESLint has one unused `ChartTone` error; E2E smoke tested (import-github 202 -> ANALYZED); backend DI bug in `GitHubPreFlightService` resolved"
PB02,GitHub Import,Lập trình viên,Pre-flight kiểm tra repo (private/size/branch),từ chối sớm repo không hợp lệ,RB05,2,Medium,2,Done,GitHubPreFlightService đã có; T11 covers preflight failure short-circuit before tarball download/extract/project creation/analyze/watch
PB03,JavaParser Analysis,Lập trình viên,Parse file .java thành Class/Method/Field/Route,có dữ liệu cấu trúc code,RB06,1,High,1,Done,"✅ Core parser has six runtime visitor classes, including `SpringImplicitFlowVisitor`; five dedicated `*VisitorTest.java` files currently exist and pass in the recorded test artifacts."
PB03,JavaParser Analysis,Lập trình viên,"Sinh structural edges (HAS_METHOD, EXTENDS, IMPLEMENTS...)",hiểu quan hệ cấu trúc giữa các thành phần,RB07,1,High,1,Done,Import/structural edge tasks done
PB03,JavaParser Analysis,Lập trình viên,"Phát hiện Spring annotation (@Service, @RestController...)",nhận diện layer và route,RB08,2,Medium,1,Done,SpringAnnotationVisitor done
PB03,JavaParser Analysis,Lập trình viên,Resolve CALLS edge bằng JavaSymbolSolver,dựng call graph chính xác,RB09,2,Medium,2,Done,JavaSymbolSolver wiring done
PB04,Neo4j Storage,Lập trình viên,Lưu node/edge vào Neo4j qua Java Driver raw,persistence không phụ thuộc OGM,RB10,1,High,1,Done,Raw driver persistence + deleteFile incremental + ArchUnit pass
PB04,Neo4j Storage,Lập trình viên,"Áp dụng Cypher schema migration (ràng buộc, index)",đảm bảo toàn vẹn dữ liệu graph,RB11,1,High,1,Done,Neo4jMigrationRunner done
PB04,Neo4j Storage,Lập trình viên,Lấy full graph theo projectId,cung cấp dữ liệu cho UI,RB12,1,High,1,Done,Full graph/API + REST integration tests done
PB05,Graph Visualization,Kiến trúc sư phần mềm,Render graph bằng Sigma.js + Graphology,nhìn được kiến trúc dự án,RB13,1,High,1,Done,Historical Sprint 2 snapshot: graph render core + FA2 layout + node color; the old 23-file/161-test count is not current audit evidence.
PB05,Graph Visualization,Kiến trúc sư phần mềm,Tô màu ổn định theo loại node/edge,phân biệt các thành phần code,RB14,2,Medium,1,Done,✅ getNodeColor/getEdgeColor in graphAdapter.ts + lib/constants.ts
PB06,Search / Filter / Select,Kiến trúc sư phần mềm,Tìm kiếm node theo tên,định vị nhanh thành phần cần xem,RB15,1,High,1,Done,✅ SearchBar filters loaded nodes client-side; unit tested
PB06,Search / Filter / Select,Kiến trúc sư phần mềm,Lọc theo loại node và loại edge kèm số đếm,thu hẹp graph theo nhu cầu,RB16,2,Medium,2,Done,✅ FilterPanel + useFilters + graphFilters done; Sigma re-renders filtered graph
PB06,Search / Filter / Select,Kiến trúc sư phần mềm,Click/select node highlight,xem vùng liên quan bằng thao tác chọn node thủ công,RB17,2,Medium,2,Done,✅ `FocusDepthControl.vue` removed after UX review; click-driven selection highlight remains in `focusMode.ts`/`GraphCanvas.vue`
PB07,Node Detail,Kiến trúc sư phần mềm,Xem panel chi tiết node với cạnh in/out,hiểu sâu một thành phần code,RB18,2,Medium,2,Done,✅ Frontend panel + backend Node Detail API done; `/graph/neighbors/{nodeId}` and query-param endpoint support slash-containing IDs
PB08,Impact Analysis,Lập trình viên,Xem blast radius của một node,đánh giá ảnh hưởng trước khi sửa code,RB19,2,Medium,2,Done,✅ Backend API/repository done; frontend panel T59 done (`ImpactAnalysisPanel.vue` + `useImpactAnalysis.ts`)
PB09,Realtime Update,Lập trình viên,Nhận cập nhật graph realtime qua WebSocket/STOMP,thấy thay đổi tức thì,RB20,2,Medium,2,Done,✅ Realtime hoàn tất cho CREATE/MODIFY/DELETE. FE consumer (T60) + producer broadcast (T36) + deleteFile incremental (T25) + FileWatcher (T37) + bridge/lifecycle (T38) done. `FileChangeBroadcaster` re-parse đúng file đổi → tính delta → broadcast `INCREMENTAL`; FE patch Sigma tại chỗ (không reset camera/zoom). Đã test end-to-end (thêm/xóa file qua import local-folder). T70 Spring-context test + Docker-gated STOMP/Testcontainers E2E (skip sạch khi không có Docker)
